LoanId,Amount,Grade,Grade_Score,Home,Income,Income_Bracket,Status,Default_Flag,Reason,DebtIncRat,DTI_Risk_Category,Loan_Size_Category,Income_to_Loan_Ratio,Risk_Score,Overall_Risk_Category
67546,"28,000",E,5,MORTGAGE,"75,000",Medium,Charged Off,1,debt_consolidation,23.02,Medium Risk,Large,37.33,11.61,MEDIUM RISK
285571,"5,000",C,3,OWN,"20,000",Low,Current,0,debt_consolidation,5.22,Low Risk,Medium,25,3.49,LOW RISK
646767,"8,325",E,5,OWN,"30,030",Low,Fully Paid,0,debt_consolidation,39.86,High Risk,Medium,27.72,18.14,MEDIUM RISK
586416,"3,000",B,2,MORTGAGE,"80,000",High,Fully Paid,0,credit_card,19.91,Low Risk,Small,3.75,9.16,LOW RISK
582093,"7,200",C,3,RENT,"33,000",Low,Current,0,debt_consolidation,14.29,Low Risk,Medium,21.82,7.52,LOW RISK
114947,"16,800",D,4,RENT,"77,000",Medium,Charged Off,1,credit_card,11.75,Low Risk,Large,21.82,6.9,LOW RISK
85821,"2,000",E,5,OWN,"32,000",Low,Fully Paid,0,other,27.67,Medium Risk,Small,6.25,13.27,MEDIUM RISK
428853,"15,000",D,4,RENT,"80,000",High,Current,0,small_business,12.53,Low Risk,Large,18.75,7.21,LOW RISK
225566,"21,000",B,2,MORTGAGE,"170,000",High,Fully Paid,0,debt_consolidation,23.1,Medium Risk,Large,12.35,10.44,MEDIUM RISK
431252,"1,000",E,5,RENT,"40,000",Medium,Current,0,debt_consolidation,11.34,Low Risk,Small,2.5,7.14,LOW RISK
210369,"4,500",C,3,RENT,"52,000",Medium,Fully Paid,0,debt_consolidation,4.98,Low Risk,Small,8.65,3.79,LOW RISK
123245,"14,525",C,3,RENT,"65,000",Medium,Fully Paid,0,debt_consolidation,19.53,Low Risk,Medium,22.35,9.61,LOW RISK
513682,"26,875",E,5,OWN,"77,725",Medium,Current,0,debt_consolidation,25,Medium Risk,Large,34.58,12.2,MEDIUM RISK
61458,"15,000",A,1,OWN,"80,000",High,Fully Paid,0,credit_card,23.99,Medium Risk,Large,18.75,10.2,MEDIUM RISK
306503,"20,000",B,2,MORTGAGE,"80,000",High,Charged Off,1,credit_card,24.01,Medium Risk,Large,25,10.8,MEDIUM RISK
335871,"5,000",C,3,OWN,"90,000",High,Current,0,debt_consolidation,21.31,Medium Risk,Medium,5.56,9.92,LOW RISK
393971,"24,000",D,4,OWN,"117,000",High,Current,0,debt_consolidation,9.81,Low Risk,Large,20.51,5.72,LOW RISK
218542,"22,475",D,4,MORTGAGE,"66,000",Medium,Fully Paid,0,credit_card,18.8,Low Risk,Large,34.05,9.52,LOW RISK
320837,"2,200",C,3,MORTGAGE,"25,000",Low,Fully Paid,0,car,7.22,Low Risk,Small,8.8,4.49,LOW RISK
626734,"15,000",B,2,MORTGAGE,"120,000",High,Fully Paid,0,debt_consolidation,9.41,Low Risk,Large,12.5,4.96,LOW RISK
317087,"20,225",C,3,MORTGAGE,"44,000",Medium,Current,0,credit_card,27.33,Medium Risk,Large,45.97,12.53,MEDIUM RISK
584627,"30,000",C,3,MORTGAGE,"334,000",High,Fully Paid,0,debt_consolidation,22.64,Medium Risk,Large,8.98,10.66,MEDIUM RISK
600443,"12,500",A,1,RENT,"32,500",Low,Current,0,debt_consolidation,19.57,Low Risk,Medium,38.46,8.83,LOW RISK
399710,"15,000",C,3,MORTGAGE,"45,000",Medium,Fully Paid,0,debt_consolidation,24.56,Medium Risk,Large,33.33,11.42,MEDIUM RISK
269668,"9,000",B,2,MORTGAGE,"92,000",High,Fully Paid,0,debt_consolidation,12.91,Low Risk,Medium,9.78,6.36,LOW RISK
96586,"12,000",C,3,MORTGAGE,"80,000",High,Fully Paid,0,debt_consolidation,11.9,Low Risk,Medium,15,6.36,LOW RISK
614137,"10,625",D,4,MORTGAGE,"41,319",Medium,Current,0,debt_consolidation,25.04,Medium Risk,Medium,25.71,12.02,MEDIUM RISK
197793,"13,000",C,3,MORTGAGE,"60,000",Medium,Fully Paid,0,debt_consolidation,8.5,Low Risk,Medium,21.67,5,LOW RISK
39871,"2,000",D,4,MORTGAGE,"28,000",Low,Fully Paid,0,debt_consolidation,22.25,Medium Risk,Small,7.14,10.9,MEDIUM RISK
622294,"10,000",B,2,MORTGAGE,"70,000",Medium,Fully Paid,0,debt_consolidation,12.93,Low Risk,Medium,14.29,6.37,LOW RISK
473156,"33,600",E,5,OWN,"84,120",High,Charged Off,1,credit_card,26.69,Medium Risk,Large,39.94,12.88,MEDIUM RISK
93433,"20,000",F,6,MORTGAGE,"75,000",Medium,Charged Off,1,other,14.66,Low Risk,Large,26.67,8.66,LOW RISK
360668,"18,000",D,4,MORTGAGE,"70,054",Medium,Fully Paid,0,credit_card,26.01,Medium Risk,Large,25.69,12.4,MEDIUM RISK
626469,"15,000",C,3,RENT,"42,000",Medium,Fully Paid,0,debt_consolidation,24.71,Medium Risk,Large,35.71,11.68,MEDIUM RISK
384436,"35,000",B,2,RENT,"750,000",High,Charged Off,1,debt_consolidation,1.44,Low Risk,Large,4.67,1.98,LOW RISK
265606,"5,250",A,1,MORTGAGE,"35,000",Low,Current,0,credit_card,16.08,Low Risk,Medium,15,7.23,LOW RISK
425414,"14,400",B,2,RENT,"140,000",High,Current,0,debt_consolidation,7.71,Low Risk,Medium,10.29,4.48,LOW RISK
209998,"20,000",A,1,MORTGAGE,"110,000",High,Fully Paid,0,credit_card,18.16,Low Risk,Large,18.18,8.06,LOW RISK
202052,"24,000",C,3,MORTGAGE,"69,000",Medium,Charged Off,1,debt_consolidation,27.17,Medium Risk,Large,34.78,12.47,MEDIUM RISK
144301,"12,500",B,2,MORTGAGE,"63,000",Medium,Fully Paid,0,debt_consolidation,20.8,Medium Risk,Medium,19.84,9.52,LOW RISK
242609,"5,000",C,3,RENT,"27,000",Low,Charged Off,1,home_improvement,6.98,Low Risk,Medium,18.52,4.59,LOW RISK
646244,"13,475",D,4,MORTGAGE,"27,000",Low,Fully Paid,0,debt_consolidation,13.11,Low Risk,Medium,49.91,7.24,LOW RISK
101250,"12,000",B,2,MORTGAGE,"70,455",Medium,Fully Paid,0,debt_consolidation,13.92,Low Risk,Medium,17.03,6.77,LOW RISK
59780,"18,625",A,1,MORTGAGE,"65,000",Medium,Fully Paid,0,credit_card,17.91,Low Risk,Large,28.65,7.96,LOW RISK
93177,"1,200",E,5,RENT,"44,993",Medium,Fully Paid,0,other,20.97,Medium Risk,Small,2.67,10.99,MEDIUM RISK
453060,"13,000",C,3,MORTGAGE,"48,000",Medium,Charged Off,1,credit_card,11.38,Low Risk,Medium,27.08,6.15,LOW RISK
406604,"18,500",B,2,RENT,"39,000",Low,Current,0,credit_card,21.29,Medium Risk,Large,47.44,9.92,LOW RISK
585289,"12,000",E,5,RENT,"51,000",Medium,Fully Paid,0,debt_consolidation,26.52,Medium Risk,Medium,23.53,13.21,MEDIUM RISK
441890,"12,000",C,3,OWN,"55,000",Medium,Charged Off,1,debt_consolidation,27.01,Medium Risk,Medium,21.82,12.2,MEDIUM RISK
483964,"17,000",A,1,MORTGAGE,"74,000",Medium,Fully Paid,0,debt_consolidation,22.57,Medium Risk,Large,22.97,9.83,LOW RISK
342176,"18,000",E,5,RENT,"21,559",Low,Current,0,debt_consolidation,59.19,High Risk,Large,83.49,26.28,HIGH RISK
433247,"22,800",A,1,MORTGAGE,"225,000",High,Fully Paid,0,debt_consolidation,9.83,Low Risk,Large,10.13,4.73,LOW RISK
539593,"10,500",D,4,RENT,"40,000",Medium,Current,0,car,37.8,High Risk,Medium,26.25,17.32,MEDIUM RISK
516267,"17,000",A,1,RENT,"78,274",Medium,Fully Paid,0,debt_consolidation,12.14,Low Risk,Large,21.72,5.86,LOW RISK
643344,"29,975",C,3,MORTGAGE,"98,000",High,Fully Paid,0,credit_card,36.91,High Risk,Large,30.59,16.36,MEDIUM RISK
288527,"10,000",C,3,MORTGAGE,"43,700",Medium,Current,0,debt_consolidation,21.75,Medium Risk,Medium,22.88,10.3,MEDIUM RISK
204661,"16,750",D,4,RENT,"40,000",Medium,Fully Paid,0,debt_consolidation,22.2,Medium Risk,Large,41.88,11.08,MEDIUM RISK
268857,"21,600",A,1,MORTGAGE,"50,300",Medium,Current,0,debt_consolidation,17.08,Low Risk,Large,42.94,7.63,LOW RISK
6873,"18,000",A,1,MORTGAGE,"50,000",Medium,Fully Paid,0,credit_card,19.35,Low Risk,Large,36,8.54,LOW RISK
120714,"9,000",B,2,MORTGAGE,"78,020",Medium,Fully Paid,0,debt_consolidation,21.29,Medium Risk,Medium,11.54,9.72,LOW RISK
553325,"8,400",B,2,MORTGAGE,"58,000",Medium,Fully Paid,0,credit_card,18.19,Low Risk,Medium,14.48,8.48,LOW RISK
151778,"33,000",D,4,MORTGAGE,"83,000",High,Current,0,debt_consolidation,16.85,Low Risk,Large,39.76,8.74,LOW RISK
156990,"15,000",D,4,MORTGAGE,"53,000",Medium,Charged Off,1,debt_consolidation,18.89,Low Risk,Large,28.3,9.56,LOW RISK
50355,"10,000",C,3,RENT,"50,000",Medium,Charged Off,1,debt_consolidation,1.63,Low Risk,Medium,20,2.45,LOW RISK
161338,"17,550",C,3,MORTGAGE,"44,146",Medium,Current,0,debt_consolidation,25.26,Medium Risk,Large,39.75,11.7,MEDIUM RISK
480707,"21,000",E,5,MORTGAGE,"50,400",Medium,Fully Paid,0,debt_consolidation,16.48,Low Risk,Large,41.67,8.99,LOW RISK
556421,"5,400",B,2,RENT,"28,800",Low,Fully Paid,0,credit_card,11.5,Low Risk,Medium,18.75,6,LOW RISK
326666,"5,000",B,2,RENT,"28,500",Low,Current,0,credit_card,10.53,Low Risk,Medium,17.54,5.61,LOW RISK
254693,"12,000",C,3,RENT,"46,000",Medium,Fully Paid,0,small_business,12.05,Low Risk,Medium,26.09,6.62,LOW RISK
161813,"20,000",B,2,MORTGAGE,"90,000",High,Fully Paid,0,debt_consolidation,6.29,Low Risk,Large,22.22,3.72,LOW RISK
72944,"10,500",A,1,MORTGAGE,"40,000",Medium,Current,0,car,12.45,Low Risk,Medium,26.25,5.78,LOW RISK
256061,"17,500",C,3,OWN,"50,000",Medium,Current,0,debt_consolidation,21.32,Medium Risk,Large,35,9.93,LOW RISK
375518,"15,000",C,3,MORTGAGE,"86,523",High,Current,0,credit_card,36.05,High Risk,Large,17.34,16.02,MEDIUM RISK
142406,"5,850",D,4,MORTGAGE,"40,600",Medium,Fully Paid,0,debt_consolidation,21.84,Medium Risk,Medium,14.41,10.74,MEDIUM RISK
292023,"12,000",B,2,RENT,"75,000",Medium,Current,0,credit_card,7.2,Low Risk,Medium,16,4.28,LOW RISK
143127,"30,000",E,5,OWN,"180,000",High,Current,0,home_improvement,11.97,Low Risk,Large,16.67,6.99,LOW RISK
329795,"6,075",C,3,RENT,"36,000",Low,Fully Paid,0,medical,14.83,Low Risk,Medium,16.88,7.73,LOW RISK
232363,"10,000",A,1,MORTGAGE,"104,000",High,Fully Paid,0,credit_card,9.73,Low Risk,Medium,9.62,4.69,LOW RISK
426760,"30,000",E,5,MORTGAGE,"75,000",Medium,Current,0,debt_consolidation,25.2,Medium Risk,Large,40,12.48,MEDIUM RISK
246025,"3,000",C,3,RENT,"40,000",Medium,Charged Off,1,debt_consolidation,12.78,Low Risk,Small,7.5,6.91,LOW RISK
233374,"18,000",B,2,RENT,"66,000",Medium,Charged Off,1,debt_consolidation,23.78,Medium Risk,Large,27.27,10.91,MEDIUM RISK
350401,"17,600",B,2,RENT,"48,000",Medium,Fully Paid,0,debt_consolidation,28.85,Medium Risk,Large,36.67,12.94,MEDIUM RISK
486077,"5,000",C,3,RENT,"46,000",Medium,Fully Paid,0,debt_consolidation,24.84,Medium Risk,Medium,10.87,11.74,MEDIUM RISK
145169,"35,000",D,4,MORTGAGE,"120,000",High,Fully Paid,0,debt_consolidation,9.96,Low Risk,Large,29.17,5.98,LOW RISK
270994,"10,000",C,3,MORTGAGE,"55,000",Medium,Current,0,other,20.49,Medium Risk,Medium,18.18,9.8,LOW RISK
174440,"10,575",B,2,OWN,"82,000",High,Fully Paid,0,debt_consolidation,33.48,Medium Risk,Medium,12.9,14.39,MEDIUM RISK
413616,"24,825",D,4,MORTGAGE,"74,000",Medium,Charged Off,1,debt_consolidation,22.49,Medium Risk,Large,33.55,11,MEDIUM RISK
120695,"5,700",C,3,MORTGAGE,"60,000",Medium,Fully Paid,0,debt_consolidation,8.9,Low Risk,Medium,9.5,5.16,LOW RISK
567033,"6,050",D,4,RENT,"16,000",Low,Current,0,credit_card,25.36,Medium Risk,Medium,37.81,12.34,MEDIUM RISK
490165,"3,000",C,3,MORTGAGE,"48,000",Medium,Fully Paid,0,debt_consolidation,29.4,Medium Risk,Small,6.25,13.36,MEDIUM RISK
438767,"20,000",A,1,MORTGAGE,"51,480",Medium,Current,0,debt_consolidation,9.63,Low Risk,Large,38.85,4.65,LOW RISK
405763,"13,000",B,2,RENT,"87,800",High,Current,0,debt_consolidation,8.32,Low Risk,Medium,14.81,4.73,LOW RISK
244395,"10,450",F,6,MORTGAGE,"38,500",Low,Current,0,debt_consolidation,25.37,Medium Risk,Medium,27.14,12.95,MEDIUM RISK
347866,"35,000",D,4,MORTGAGE,"203,000",High,Fully Paid,0,credit_card,18.36,Low Risk,Large,17.24,9.34,LOW RISK
574275,"22,200",F,6,RENT,"65,500",Medium,Charged Off,1,other,33.31,Medium Risk,Large,33.89,16.32,MEDIUM RISK
381949,"3,500",C,3,RENT,"22,000",Low,Late (16-30 days),0,credit_card,19.75,Low Risk,Small,15.91,9.7,LOW RISK
551350,"6,500",B,2,RENT,"81,000",High,Current,0,debt_consolidation,11.21,Low Risk,Medium,8.02,5.88,LOW RISK
205138,"10,800",C,3,RENT,"67,000",Medium,Fully Paid,0,credit_card,19.22,Low Risk,Medium,16.12,9.49,LOW RISK
465027,"12,600",E,5,RENT,"35,000",Low,Fully Paid,0,house,12.48,Low Risk,Medium,36,7.59,LOW RISK
173997,"10,000",C,3,RENT,"40,000",Medium,Fully Paid,0,debt_consolidation,18.99,Low Risk,Medium,25,9.4,LOW RISK
390214,"5,000",C,3,MORTGAGE,"43,000",Medium,Late (16-30 days),0,home_improvement,5.44,Low Risk,Medium,11.63,3.78,LOW RISK
315989,"12,000",C,3,RENT,"52,000",Medium,Current,0,debt_consolidation,11.56,Low Risk,Medium,23.08,6.42,LOW RISK
174006,"10,000",B,2,RENT,"55,000",Medium,Charged Off,1,debt_consolidation,15.82,Low Risk,Medium,18.18,7.73,LOW RISK
370678,"30,000",D,4,MORTGAGE,"70,000",Medium,Current,0,debt_consolidation,17.41,Low Risk,Large,42.86,8.96,LOW RISK
599547,"15,000",B,2,MORTGAGE,"175,000",High,Fully Paid,0,debt_consolidation,14.06,Low Risk,Large,8.57,6.82,LOW RISK
592118,"27,325",F,6,RENT,"75,000",Medium,Fully Paid,0,debt_consolidation,24.58,Medium Risk,Large,36.43,12.83,MEDIUM RISK
180002,"30,000",A,1,RENT,"165,000",High,Fully Paid,0,debt_consolidation,10.79,Low Risk,Large,18.18,5.32,LOW RISK
211066,"13,150",C,3,OWN,"30,000",Low,Fully Paid,0,credit_card,22.92,Medium Risk,Medium,43.83,10.57,MEDIUM RISK
647111,"21,000",C,3,RENT,"125,000",High,Charged Off,1,credit_card,18.22,Low Risk,Large,16.8,9.09,LOW RISK
407049,"14,000",A,1,RENT,"130,000",High,Fully Paid,0,debt_consolidation,7.82,Low Risk,Medium,10.77,4.13,LOW RISK
615381,"12,550",D,4,RENT,"35,000",Low,Fully Paid,0,debt_consolidation,15.42,Low Risk,Medium,35.86,8.37,LOW RISK
306296,"12,525",G,7,MORTGAGE,"39,000",Low,Late (31-120 days),0,debt_consolidation,25.29,Medium Risk,Medium,32.12,13.32,MEDIUM RISK
267100,"30,000",C,3,RENT,"80,000",High,Fully Paid,0,debt_consolidation,17.75,Low Risk,Large,37.5,8.9,LOW RISK
432807,"4,200",B,2,OWN,"46,000",Medium,Fully Paid,0,credit_card,24.63,Medium Risk,Small,9.13,10.85,MEDIUM RISK
100021,"15,000",B,2,RENT,"55,000",Medium,Fully Paid,0,debt_consolidation,17.46,Low Risk,Large,27.27,8.38,LOW RISK
